timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-26,2819.0000,2827.3999,2781.5500,2817.0000,2817.0000,1482105,0.0000,1.0000
2018-03-23,2802.0000,2834.1001,2798.0500,2818.1499,2818.1499,1827061,0.0000,1.0000
2018-03-22,2859.9500,2875.9500,2822.5500,2831.3501,2831.3501,1163047,0.0000,1.0000
2018-03-21,2872.5000,2884.3000,2850.0000,2856.7500,2856.7500,1953839,0.0000,1.0000
2018-03-20,2820.0000,2873.2000,2819.0000,2864.8501,2864.8501,2012492,0.0000,1.0000
2018-03-19,2829.0000,2848.0000,2820.0000,2831.0000,2831.0000,1744970,0.0000,1.0000
2018-03-16,2868.8000,2872.0000,2805.0000,2825.7000,2825.7000,3598741,0.0000,1.0000
2018-03-15,2895.0000,2902.5500,2855.6001,2869.7000,2869.7000,1174453,0.0000,1.0000
2018-03-14,2892.9500,2923.0500,2875.0500,2886.8999,2886.8999,1834334,0.0000,1.0000
2018-03-13,2924.8999,2939.7000,2872.0000,2886.8000,2886.8000,44033577,0.0000,1.0000
2018-03-12,3043.0000,3083.8999,3035.5000,3052.1499,3052.1499,1045670,0.0000,1.0000
2018-03-09,3005.0000,3063.2000,2977.2000,3034.1001,3034.1001,936218,0.0000,1.0000
2018-03-08,3054.8999,3054.8999,2987.5000,3003.9500,3003.9500,975913,0.0000,1.0000
2018-03-07,3070.0000,3089.0000,3018.5000,3027.4500,3027.4500,958886,0.0000,1.0000
2018-03-06,3122.0000,3127.0000,3030.1499,3042.8000,3042.8000,953382,0.0000,1.0000
2018-03-05,3049.0000,3113.6499,3032.9500,3105.8501,3105.8501,1429084,0.0000,1.0000
2018-03-01,3049.0000,3061.2000,3020.0000,3037.7000,3037.7000,859062,0.0000,1.0000
2018-02-28,3035.0000,3063.9500,3021.4500,3035.0500,3035.0500,1353432,0.0000,1.0000
2018-02-27,3041.0000,3078.5500,3032.0000,3042.3501,3042.3501,858900,0.0000,1.0000
2018-02-26,3075.0000,3089.9500,3021.2000,3031.7000,3031.7000,681941,0.0000,1.0000
2018-02-23,3050.0000,3089.0000,2992.1001,3075.8000,3075.8000,1681250,0.0000,1.0000
2018-02-22,3052.0000,3079.0000,3022.5000,3050.2000,3050.2000,1731505,0.0000,1.0000
2018-02-21,2974.0000,3062.6001,2960.0500,3042.3000,3042.3000,1544614,0.0000,1.0000
2018-02-20,2928.0000,2985.0500,2927.8999,2944.7500,2944.7500,944534,0.0000,1.0000
2018-02-19,2945.0000,2953.3000,2895.2000,2923.6001,2923.6001,784112,0.0000,1.0000
2018-02-16,2923.0000,2999.6001,2923.0000,2933.0500,2933.0500,1257878,0.0000,1.0000
2018-02-15,2931.9500,2943.0000,2905.1001,2925.8501,2925.8501,1232618,0.0000,1.0000
2018-02-14,2970.0000,2974.4500,2892.5000,2911.8000,2911.8000,1423766,0.0000,1.0000
2018-02-12,2978.3000,3023.3501,2955.5500,2967.3000,2967.3000,987281,0.0000,1.0000
2018-02-09,2950.0000,2994.0000,2896.6499,2971.7000,2971.7000,1051229,0.0000,1.0000
